"
GLOBAL ADMIN COST CONSOLIDATION",Countries / FIN POC /HR POC,SREEJITH/RAM (INDIA),,,SREEJITH/WISSAM (UAE),,,"PRIME
SREEJITH/WISSAM (UAE)",,,BHARATH/WISSAM(OMAN),,,ANKITA/WISSAM(BAHRN),,,MEGHA/DEYA(KSA),,,SALAM/FATHY(EGYPT),,,BHARAT/FATHY(JORDAN),,,BURGA/YESIM(TURKEY),,,BURGA/YESIM(KZK),,,BURGA/NATALIA(POLAND),,,Status
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Asset Type,Apr '20 ~ Mar '21,Apr '21 ~ Mar '22,Apr '22 ~ Mar '23,Apr '20 ~ Mar '21,Apr '21 ~ Mar '22,Apr '22 ~ Mar '23,Apr '20 ~ Mar '21,Apr '21 ~ Mar '22,Apr '22 ~ Mar '23,Apr '20 ~ Mar '21,Apr '21 ~ Mar '22,Apr '22 ~ Mar '23,Apr '20 ~ Mar '21,Apr '21 ~ Mar '22,Apr '22 ~ Mar '23,Apr '20 ~ Mar '21,Apr '21 ~ Mar '22,Apr '22 ~ Mar '23,Apr '20 ~ Mar '21,Apr '21 ~ Mar '22,Apr '22 ~ Mar '23,Apr '20 ~ Mar '21,Apr '21 ~ Mar '22,Apr '22 ~ Mar '23,Apr '20 ~ Mar '21,Apr '21 ~ Mar '22,Apr '22 ~ Mar '23,Apr '20 ~ Mar '21,Apr '21 ~ Mar '22,Apr '22 ~ Mar '23,Apr '20 ~ Mar '21,Apr '21 ~ Mar '22,Apr '22 ~ Mar '23,
IT Assets,Mobile,759,"9,549",,,,,,,,,,,,,,,,,,,,,,"2,250",,"11,061","3,067",,,,,,,
,Network Providers -SIM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Laptop,"75,105","1,32,091","42,162",,,,,,,,,"1,272",,,,,,,,,,,"1,939","7,584",,,,,,"2,806","31,349","1,802","4,083",
,"Computers - Screen, CPU, Keyboards","2,867","2,322",,"28,957","1,69,733","1,30,027",,,"7,992",,,,"3,048","1,192",424,,,,,,,,,,"13,221","6,803","10,980",,,,,,"5,956",
,Network Providers - Internet/WIFI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TV,,,,,,,,,,,329,666,,,,,,,,,,,"1,052",71,"1,375",,878,,,,,,,
,Projectors,422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Camera,"1,951","7,953",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Printer, Copiers","1,179",,,,,,,,,,,480,,,,,,,,,,,423,522,442,,,,,,,,,
,PPT Changer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Server Decks (DVD Inclusive),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Accessories - Headset, Mouse, Pods, Pendrives, Harddisk etc",213,,,,,,,,,,,,,,,,,,,,,,,,340,"1,216",,,,,,,,
,Conference Communicators,,,"4,411",,,,,,,,,,,,,,,,,,,,,,,600,,,,,,,,
,Annual Main Cost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Speakers,,,"2,014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Services,Software Cost,,979,,"35,589",,,,,,,,,,,,,,,,,,,,,"40,275","2,254",,,,429,,,,
,"Employee Welfare Petty Cash - Cakes, Snack, Food & Beverages, Decorations, Dangles, Posters, Banners, Fliers","3,668","13,712","15,192","6,002","11,389","8,451",,"1,100","4,881",,,,,,,,,,,,,,,,,,,,,,,,,
,"Update, License renewel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,326","4,081",
,Insurances,"4,488","7,697","13,609","1,47,603","2,66,066","4,92,510",,"53,803","53,910",,,,,,,,,,,,,,,,,,,,,146,,,,
,Travel Ticket & Visa,71,"7,406","10,559","18,243","72,714","76,233",,"1,473",0,,,,,,,,,,,,,,,,,,,,,242,,,,
,"Company Vehicles, 2W 4W",,,,"1,27,205","26,509","1,62,608",,,,,,,,,,,,,,,,,,,"2,83,229","3,493",,,,,,,,
,Accomodation Cost,,"10,388","10,785","18,792","24,154","23,665",,"1,944",0,,,,,,,,,,,,,,,,,,,,,66,,,,
,Govt Fees if any,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,
,Third Part Auditing Fee,"2,439","2,439",,"10,218","50,218","75,422",,,,,,,,,,,,,,,,,,,,,,,,"14,178",,,,
,"Rental Cars, Plans",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Antivirus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
